"modelSim","Alpha","S","n","q","Var","delta","Cor","loc","lambda","sd.DF_CompPot_res.Pot_MANTA.","sd.DF_CompPot_res.Pot_MANOVA."
"mvnorm",0.05,1000,300,3,"equal",0,0,1,NA,0.000983192080250176,0.00244948974278318
"mvnorm",0.05,1000,300,3,"equal",0,0.2,1,NA,0.00183484785926972,0.000983192080250173
"mvnorm",0.05,1000,300,3,"equal",0,0.4,1,NA,0.00236643191323985,0.000836660026534074
"mvnorm",0.05,1000,300,3,"equal",0,0.6,1,NA,0.00263944438597722,0.0039496835316263
"mvnorm",0.05,1000,300,3,"equal",0,0.8,1,NA,0.00187082869338697,0.00402077936060494
"mvnorm",0.05,1000,300,3,"equal",0.2,0,1,NA,0.365220344449758,0.368077528065307
"mvnorm",0.05,1000,300,3,"equal",0.2,0.2,1,NA,0.361060105799575,0.337215460301966
"mvnorm",0.05,1000,300,3,"equal",0.2,0.4,1,NA,0.343268796523463,0.292795947148636
"mvnorm",0.05,1000,300,3,"equal",0.2,0.6,1,NA,0.31557656228983,0.242994650146871
"mvnorm",0.05,1000,300,3,"equal",0.2,0.8,1,NA,0.295671270163335,0.207991105579061
"mvnorm",0.05,1000,300,3,"equal",0.4,0,1,NA,0.359666743898663,0.371914192612579
"mvnorm",0.05,1000,300,3,"equal",0.4,0.2,1,NA,0.363749226803302,0.367831709707941
"mvnorm",0.05,1000,300,3,"equal",0.4,0.4,1,NA,0.361707985350983,0.370689447741188
"mvnorm",0.05,1000,300,3,"equal",0.4,0.6,1,NA,0.360074992189127,0.367831709707941
"mvnorm",0.05,1000,300,3,"equal",0.4,0.8,1,NA,0.3592584956082,0.367423461417477
"mvnorm",0.05,1000,300,3,"equal",0.6,0,1,NA,0.32333264604738,0.3445615571515
"mvnorm",0.05,1000,300,3,"equal",0.6,0.2,1,NA,0.323740894337843,0.342928563989645
"mvnorm",0.05,1000,300,3,"equal",0.6,0.4,1,NA,0.324149142628307,0.347419295184747
"mvnorm",0.05,1000,300,3,"equal",0.6,0.6,1,NA,0.322516149466452,0.350277033217994
"mvnorm",0.05,1000,300,3,"equal",0.6,0.8,1,NA,0.318841914852277,0.345378053732428
"mvnorm",0.05,1000,300,3,"equal",0.8,0,1,NA,0.26740263025383,0.307002714428825
"mvnorm",0.05,1000,300,3,"equal",0.8,0.2,1,NA,0.266586133672903,0.306186217847897
"mvnorm",0.05,1000,300,3,"equal",0.8,0.4,1,NA,0.269035623415686,0.306186217847897
"mvnorm",0.05,1000,300,3,"equal",0.8,0.6,1,NA,0.270260368287077,0.309043955881144
"mvnorm",0.05,1000,300,3,"equal",0.8,0.8,1,NA,0.266586133672903,0.302920231524186
"mvnorm",0.05,1000,300,3,"equal",1,0,1,NA,0.202082903779612,0.256379926411306
"mvnorm",0.05,1000,300,3,"equal",1,0.2,1,NA,0.201674655489148,0.257196422992234
"mvnorm",0.05,1000,300,3,"equal",1,0.4,1,NA,0.194734434551263,0.251889195216203
"mvnorm",0.05,1000,300,3,"equal",1,0.6,1,NA,0.191876696518016,0.253522188378059
"mvnorm",0.05,1000,300,3,"equal",1,0.8,1,NA,0.193509689679871,0.255563429830378
"mvnorm",0.05,1000,300,3,"unequal",0,0,1,NA,0.00332665998663324,0.00132916013582512
"mvnorm",0.05,1000,300,3,"unequal",0,0.2,1,NA,0.00219089023002066,0.001211060141639
"mvnorm",0.05,1000,300,3,"unequal",0,0.4,1,NA,0.00460434577328854,0.00557374799095426
"mvnorm",0.05,1000,300,3,"unequal",0,0.6,1,NA,0.00365604522218567,0.00350238014308365
"mvnorm",0.05,1000,300,3,"unequal",0,0.8,1,NA,0.00314642654451045,0.00354494945897211
"mvnorm",0.05,1000,300,3,"unequal",0.2,0,1,NA,0.384569889616959,0.385386386197887
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.2,1,NA,0.383753393036031,0.389877117392989
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.4,1,NA,0.380895655002784,0.38783587594067
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.6,1,NA,0.385386386197887,0.387019379359742
"mvnorm",0.05,1000,300,3,"unequal",0.2,0.8,1,NA,0.384978137907423,0.385794634488351
"mvnorm",0.05,1000,300,3,"unequal",0.4,0,1,NA,0.365382219965157,0.374771930645826
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.2,1,NA,0.36252448193191,0.373955434064899
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.4,1,NA,0.366198716546085,0.373138937483971
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.6,1,NA,0.367831709707941,0.375996675517218
"mvnorm",0.05,1000,300,3,"unequal",0.4,0.8,1,NA,0.366606964836549,0.376404923807682
"mvnorm",0.05,1000,300,3,"unequal",0.6,0,1,NA,0.331905860147121,0.352318274670314
"mvnorm",0.05,1000,300,3,"unequal",0.6,0.2,1,NA,0.330681115275729,0.347011046894284
"mvnorm",0.05,1000,300,3,"unequal",0.6,0.4,1,NA,0.330681115275729,0.34660279860382
"mvnorm",0.05,1000,300,3,"unequal",0.6,0.6,1,NA,0.326190384080627,0.347419295184747
"mvnorm",0.05,1000,300,3,"unequal",0.6,0.8,1,NA,0.331905860147121,0.348644040056139
"mvnorm",0.05,1000,300,3,"unequal",0.8,0,1,NA,0.280466575548674,0.30863570759068
"mvnorm",0.05,1000,300,3,"unequal",0.8,0.2,1,NA,0.275159347772644,0.306186217847897
"mvnorm",0.05,1000,300,3,"unequal",0.8,0.4,1,NA,0.27475109948218,0.311493445623928
"mvnorm",0.05,1000,300,3,"unequal",0.8,0.6,1,NA,0.280874823839138,0.30863570759068
"mvnorm",0.05,1000,300,3,"unequal",0.8,0.8,1,NA,0.282099568710529,0.308227459300217
"mvnorm",0.05,1000,300,3,"unequal",1,0,1,NA,0.211064366169817,0.258421167863625
"mvnorm",0.05,1000,300,3,"unequal",1,0.2,1,NA,0.211880862750745,0.248214960602029
"mvnorm",0.05,1000,300,3,"unequal",1,0.4,1,NA,0.210656117879353,0.261278905896872
"mvnorm",0.05,1000,300,3,"unequal",1,0.6,1,NA,0.211880862750745,0.25678817470177
"mvnorm",0.05,1000,300,3,"unequal",1,0.8,1,NA,0.213922104203064,0.257196422992234
"mvnorm",0.01,1000,300,3,"equal",0,0,1,NA,0.00196638416050035,0.00204124145231932
"mvnorm",0.01,1000,300,3,"equal",0,0.2,1,NA,0.001211060141639,0.00204124145231932
"mvnorm",0.01,1000,300,3,"equal",0,0.4,1,NA,0.00160208197875972,0.00273252020425589
"mvnorm",0.01,1000,300,3,"equal",0,0.6,1,NA,0.002,0.00160208197875972
"mvnorm",0.01,1000,300,3,"equal",0,0.8,1,NA,0.00137840487520902,0.00163299316185545
"mvnorm",0.01,1000,300,3,"equal",0.2,0,1,NA,0.36661351129857,0.361383268382291
"mvnorm",0.01,1000,300,3,"equal",0.2,0.2,1,NA,0.342767948715551,0.300552657615933
"mvnorm",0.01,1000,300,3,"equal",0.2,0.4,1,NA,0.309069841082346,0.217801515146245
"mvnorm",0.01,1000,300,3,"equal",0.2,0.6,1,NA,0.258588024986979,0.165425108936542
"mvnorm",0.01,1000,300,3,"equal",0.2,0.8,1,NA,0.217295881231099,0.128604432271987
"mvnorm",0.01,1000,300,3,"equal",0.4,0,1,NA,0.395184345169019,0.400083324654586
"mvnorm",0.01,1000,300,3,"equal",0.4,0.2,1,NA,0.397225586621339,0.400083324654586
"mvnorm",0.01,1000,300,3,"equal",0.4,0.4,1,NA,0.391510110554845,0.400083324654586
"mvnorm",0.01,1000,300,3,"equal",0.4,0.6,1,NA,0.3931431037167,0.39845033149273
"mvnorm",0.01,1000,300,3,"equal",0.4,0.8,1,NA,0.394613101657814,0.397225586621339
"mvnorm",0.01,1000,300,3,"equal",0.6,0,1,NA,0.37518017893629,0.390693613973917
"mvnorm",0.01,1000,300,3,"equal",0.6,0.2,1,NA,0.374771930645826,0.388244124231134
"mvnorm",0.01,1000,300,3,"equal",0.6,0.4,1,NA,0.377629668679073,0.389877117392989
"mvnorm",0.01,1000,300,3,"equal",0.6,0.6,1,NA,0.376813172098146,0.38783587594067
"mvnorm",0.01,1000,300,3,"equal",0.6,0.8,1,NA,0.378446165260001,0.389468869102525
"mvnorm",0.01,1000,300,3,"equal",0.8,0,1,NA,0.342520315699181,0.373955434064899
"mvnorm",0.01,1000,300,3,"equal",0.8,0.2,1,NA,0.343336812280109,0.36987295116026
"mvnorm",0.01,1000,300,3,"equal",0.8,0.4,1,NA,0.342520315699181,0.372322440903043
"mvnorm",0.01,1000,300,3,"equal",0.8,0.6,1,NA,0.344153308861037,0.370281199450724
"mvnorm",0.01,1000,300,3,"equal",0.8,0.8,1,NA,0.33925432937547,0.366198716546085
"mvnorm",0.01,1000,300,3,"equal",1,0,1,NA,0.287815044777023,0.334763598180368
"mvnorm",0.01,1000,300,3,"equal",1,0.2,1,NA,0.287815044777023,0.334355349889904
"mvnorm",0.01,1000,300,3,"equal",1,0.4,1,NA,0.289039789648415,0.340887322537326
"mvnorm",0.01,1000,300,3,"equal",1,0.6,1,NA,0.291081031100734,0.335988343051759
"mvnorm",0.01,1000,300,3,"equal",1,0.8,1,NA,0.288631541357951,0.335171846470832
"mvnorm",0.01,1000,300,3,"unequal",0,0,1,NA,0.00233809038890002,0.00163299316185545
"mvnorm",0.01,1000,300,3,"unequal",0,0.2,1,NA,0.00299443929086343,0.00367423461417477
"mvnorm",0.01,1000,300,3,"unequal",0,0.4,1,NA,0.000894427190999916,0.00126491106406735
"mvnorm",0.01,1000,300,3,"unequal",0,0.6,1,NA,0.00154919333848297,0.0017606816861659
"mvnorm",0.01,1000,300,3,"unequal",0,0.8,1,NA,0.00116904519445001,0.00265832027165025
"mvnorm",0.01,1000,300,3,"unequal",0.2,0,1,NA,0.406207049011544,0.405390552430616
"mvnorm",0.01,1000,300,3,"unequal",0.2,0.2,1,NA,0.404574055849688,0.40579880072108
"mvnorm",0.01,1000,300,3,"unequal",0.2,0.4,1,NA,0.39845033149273,0.402941062687833
"mvnorm",0.01,1000,300,3,"unequal",0.2,0.6,1,NA,0.40375755926876,0.401308069525977
"mvnorm",0.01,1000,300,3,"unequal",0.2,0.8,1,NA,0.403677098681607,0.402124566106905
"mvnorm",0.01,1000,300,3,"unequal",0.4,0,1,NA,0.39845033149273,0.400899821235513
"mvnorm",0.01,1000,300,3,"unequal",0.4,0.2,1,NA,0.396817338330875,0.402532814397369
"mvnorm",0.01,1000,300,3,"unequal",0.4,0.4,1,NA,0.392326607135772,0.398858579783194
"mvnorm",0.01,1000,300,3,"unequal",0.4,0.6,1,NA,0.398042083202266,0.397633834911803
"mvnorm",0.01,1000,300,3,"unequal",0.4,0.8,1,NA,0.398858579783194,0.39845033149273
"mvnorm",0.01,1000,300,3,"unequal",0.6,0,1,NA,0.381712151583712,0.390693613973917
"mvnorm",0.01,1000,300,3,"unequal",0.6,0.2,1,NA,0.378854413550465,0.394367848588092
"mvnorm",0.01,1000,300,3,"unequal",0.6,0.4,1,NA,0.379262661840929,0.391510110554845
"mvnorm",0.01,1000,300,3,"unequal",0.6,0.6,1,NA,0.383345144745567,0.391101862264381
"mvnorm",0.01,1000,300,3,"unequal",0.6,0.8,1,NA,0.380079158421857,0.393551352007164
"mvnorm",0.01,1000,300,3,"unequal",0.8,0,1,NA,0.355176012703561,0.371914192612579
"mvnorm",0.01,1000,300,3,"unequal",0.8,0.2,1,NA,0.355176012703561,0.373138937483971
"mvnorm",0.01,1000,300,3,"unequal",0.8,0.4,1,NA,0.354359516122633,0.372322440903043
"mvnorm",0.01,1000,300,3,"unequal",0.8,0.6,1,NA,0.346194550313356,0.371914192612579
"mvnorm",0.01,1000,300,3,"unequal",0.8,0.8,1,NA,0.353134771251241,0.374771930645826
"mvnorm",0.01,1000,300,3,"unequal",1,0,1,NA,0.30863570759068,0.341703819118253
"mvnorm",0.01,1000,300,3,"unequal",1,0.2,1,NA,0.300470741781403,0.335988343051759
"mvnorm",0.01,1000,300,3,"unequal",1,0.4,1,NA,0.303736728105114,0.340070825956398
"mvnorm",0.01,1000,300,3,"unequal",1,0.6,1,NA,0.306186217847897,0.338437832794542
"mvnorm",0.01,1000,300,3,"unequal",1,0.8,1,NA,0.30536972126697,0.338029584504078
"mvnorm",0.001,1000,300,3,"equal",0,0,1,NA,0,0
"mvnorm",0.001,1000,300,3,"equal",0,0.2,1,NA,0.000516397779494322,0
"mvnorm",0.001,1000,300,3,"equal",0,0.4,1,NA,0,0
"mvnorm",0.001,1000,300,3,"equal",0,0.6,1,NA,0.000516397779494322,0
"mvnorm",0.001,1000,300,3,"equal",0,0.8,1,NA,0.000408248290463863,0
"mvnorm",0.001,1000,300,3,"equal",0.2,0,1,NA,0.299155310833687,0.284875937909821
"mvnorm",0.001,1000,300,3,"equal",0.2,0.2,1,NA,0.276250188536889,0.189428262586834
"mvnorm",0.001,1000,300,3,"equal",0.2,0.4,1,NA,0.198423788896392,0.10549439163608
"mvnorm",0.001,1000,300,3,"equal",0.2,0.6,1,NA,0.154736442594066,0.0707238762135297
"mvnorm",0.001,1000,300,3,"equal",0.2,0.8,1,NA,0.113760127754265,0.0512942491903332
"mvnorm",0.001,1000,300,3,"equal",0.4,0,1,NA,0.407840042173399,0.407840042173399
"mvnorm",0.001,1000,300,3,"equal",0.4,0.2,1,NA,0.405390552430616,0.407840042173399
"mvnorm",0.001,1000,300,3,"equal",0.4,0.4,1,NA,0.405390552430616,0.406615297302008
"mvnorm",0.001,1000,300,3,"equal",0.4,0.6,1,NA,0.405390552430616,0.403022910845856
"mvnorm",0.001,1000,300,3,"equal",0.4,0.8,1,NA,0.404003300316553,0.390040724369477
"mvnorm",0.001,1000,300,3,"equal",0.6,0,1,NA,0.402941062687833,0.407023545592471
"mvnorm",0.001,1000,300,3,"equal",0.6,0.2,1,NA,0.401308069525977,0.407023545592471
"mvnorm",0.001,1000,300,3,"equal",0.6,0.4,1,NA,0.401308069525977,0.406615297302008
"mvnorm",0.001,1000,300,3,"equal",0.6,0.6,1,NA,0.40049157294505,0.405390552430616
"mvnorm",0.001,1000,300,3,"equal",0.6,0.8,1,NA,0.400083324654586,0.406207049011544
"mvnorm",0.001,1000,300,3,"equal",0.8,0,1,NA,0.390285365683453,0.400083324654586
"mvnorm",0.001,1000,300,3,"equal",0.8,0.2,1,NA,0.390285365683453,0.401308069525977
"mvnorm",0.001,1000,300,3,"equal",0.8,0.4,1,NA,0.387427627650206,0.399675076364122
"mvnorm",0.001,1000,300,3,"equal",0.8,0.6,1,NA,0.388244124231134,0.399266828073658
"mvnorm",0.001,1000,300,3,"equal",0.8,0.8,1,NA,0.389468869102525,0.400083324654586
"mvnorm",0.001,1000,300,3,"equal",1,0,1,NA,0.36252448193191,0.387427627650206
"mvnorm",0.001,1000,300,3,"equal",1,0.2,1,NA,0.365382219965157,0.38783587594067
"mvnorm",0.001,1000,300,3,"equal",1,0.4,1,NA,0.369056454579332,0.389468869102525
"mvnorm",0.001,1000,300,3,"equal",1,0.6,1,NA,0.362932730222374,0.389468869102525
"mvnorm",0.001,1000,300,3,"equal",1,0.8,1,NA,0.360891488770055,0.390693613973917
"mvnorm",0.001,1000,300,3,"unequal",0,0,1,NA,0.000547722557505166,0
"mvnorm",0.001,1000,300,3,"unequal",0,0.2,1,NA,0.000516397779494322,0
"mvnorm",0.001,1000,300,3,"unequal",0,0.4,1,NA,0.000516397779494322,0.000816496580927726
"mvnorm",0.001,1000,300,3,"unequal",0,0.6,1,NA,0.000408248290463863,0
"mvnorm",0.001,1000,300,3,"unequal",0,0.8,1,NA,0,0
"mvnorm",0.001,1000,300,3,"unequal",0.2,0,1,NA,0.408248290463863,0.407840042173399
"mvnorm",0.001,1000,300,3,"unequal",0.2,0.2,1,NA,0.407595387608839,0.408248290463863
"mvnorm",0.001,1000,300,3,"unequal",0.2,0.4,1,NA,0.406942583992713,0.407023545592471
"mvnorm",0.001,1000,300,3,"unequal",0.2,0.6,1,NA,0.403824425544898,0.405309100152793
"mvnorm",0.001,1000,300,3,"unequal",0.2,0.8,1,NA,0.395852708297754,0.40645229322353
"mvnorm",0.001,1000,300,3,"unequal",0.4,0,1,NA,0.407840042173399,0.407840042173399
"mvnorm",0.001,1000,300,3,"unequal",0.4,0.2,1,NA,0.406207049011544,0.407431793882935
"mvnorm",0.001,1000,300,3,"unequal",0.4,0.4,1,NA,0.404982304140152,0.407431793882935
"mvnorm",0.001,1000,300,3,"unequal",0.4,0.6,1,NA,0.406207049011544,0.406615297302008
"mvnorm",0.001,1000,300,3,"unequal",0.4,0.8,1,NA,0.406207049011544,0.406615297302008
"mvnorm",0.001,1000,300,3,"unequal",0.6,0,1,NA,0.404982304140152,0.407023545592471
"mvnorm",0.001,1000,300,3,"unequal",0.6,0.2,1,NA,0.402124566106905,0.405390552430616
"mvnorm",0.001,1000,300,3,"unequal",0.6,0.4,1,NA,0.40049157294505,0.404574055849688
"mvnorm",0.001,1000,300,3,"unequal",0.6,0.6,1,NA,0.40375755926876,0.404165807559224
"mvnorm",0.001,1000,300,3,"unequal",0.6,0.8,1,NA,0.405390552430616,0.405390552430616
"mvnorm",0.001,1000,300,3,"unequal",0.8,0,1,NA,0.393551352007164,0.402532814397369
"mvnorm",0.001,1000,300,3,"unequal",0.8,0.2,1,NA,0.390285365683453,0.400899821235513
"mvnorm",0.001,1000,300,3,"unequal",0.8,0.4,1,NA,0.389060620812061,0.398042083202266
"mvnorm",0.001,1000,300,3,"unequal",0.8,0.6,1,NA,0.395592593459483,0.400899821235513
"mvnorm",0.001,1000,300,3,"unequal",0.8,0.8,1,NA,0.394776096878556,0.401716317816441
"mvnorm",0.001,1000,300,3,"unequal",1,0,1,NA,0.373955434064899,0.391510110554845
"mvnorm",0.001,1000,300,3,"unequal",1,0.2,1,NA,0.371097696031651,0.389877117392989
"mvnorm",0.001,1000,300,3,"unequal",1,0.4,1,NA,0.371505944322115,0.389468869102525
"mvnorm",0.001,1000,300,3,"unequal",1,0.6,1,NA,0.374771930645826,0.391510110554845
"mvnorm",0.001,1000,300,3,"unequal",1,0.8,1,NA,0.372730689193507,0.391918358845309
