"Datos","Modelo","alpha","S","n","Var","q","loc","stdev","Cor","delta","lambda","MANTA_col","Pot_MANTA","tcomp_MANTA","MANOVA_col","Pot_MANOVA","tcomp_MANOVA"
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.056,1.24066829681396,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.054,1.57098436355591,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.057,1.2178373336792,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",0.053,1.09264731407166,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.093,1.27001476287842,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.094,1.17488598823547,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.056,1.20829653739929,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",0.095,1.1616063117981,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.36456489562988,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.272,1.13642764091492,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.055,1.18461990356445,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",0.273,1.16058754920959,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.593,1.26969313621521,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.59,1.11028575897217,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.057,1.17465424537659,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",0.593,1.10878562927246,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.839,1.21824312210083,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.839,1.12104368209839,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.056,1.16624975204468,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",0.841,1.09017634391785,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.97,1.17603850364685,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.971,1.09978270530701,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.068,1.18017792701721,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",0.971,1.11422657966614,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.998,1.6317765712738,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.998,1.12679076194763,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.085,1.14968299865723,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",0.998,1.20119190216064,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.22914981842041,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.11415600776672,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",0.158,1.1166889667511,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",1,1.10518455505371,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.56661057472229,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.11924195289612,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",0.301,1.1652991771698,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",1,1.70606374740601,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.22975373268127,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,1.094393491745,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",0.591,1.15511012077332,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",1,5.51537871360779,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.60368013381958,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,1.11218309402466,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",0.817,1.17463254928589,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",1,26.6911807060242,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.24072122573853,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,1.08974051475525,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",0.959,1.1521897315979,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",1,109.609487533569,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,1,0.025,NA,0.032,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.049,1.2789351940155,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.053,1.06029486656189,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.052,1.36952829360962,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",0.052,1.06227469444275,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.101,1.24155139923096,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.094,1.12328362464905,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.093,1.32862663269043,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",0.089,1.17144012451172,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.002,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",0.282,1.1937472820282,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",0.26,1.1169912815094,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",0.259,1.80709075927734,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",0.254,1.08689093589783,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.004,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",0.581,1.3453094959259,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",0.557,1.12551689147949,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",0.557,1.60359978675842,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",0.525,1.12110567092896,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.006,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",0.827,1.24457049369812,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",0.804,1.09065461158752,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",0.803,1.93002367019653,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",0.785,1.1105535030365,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.008,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",0.96,1.20201945304871,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",0.945,1.08596062660217,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",0.949,2.62351250648499,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",0.936,1.07256150245667,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.01,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.997,1.2414858341217,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.996,1.09155440330505,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.996,3.78442144393921,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",0.991,1.2254467010498,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.012,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.1997127532959,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.12657451629639,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,8.23913931846619,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",1,1.21352577209473,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.016,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.24731874465942,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.11360549926758,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,14.351939201355,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",1,1.4537365436554,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.02,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,1.17940783500671,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,1.10585141181946,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,24.8909230232239,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",1,3.49594759941101,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.024,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,1.19850373268127,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,1.1251072883606,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,39.2183468341827,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",1,21.7356624603271,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Normalización Min- Max","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.028,1000,"MANTA",NA,NA,"MANOVA",NA,NA
"Datos sin transformar","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,1.24853825569153,"MANOVA",NA,NA
"Transformación logarítmica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,1.08031535148621,"MANOVA",NA,NA
"Transformación Centered Log Ratio (clr)","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,51.3818867206573,"MANOVA",NA,NA
"Transformación raíz cuadrada","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",1,78.1683509349823,"MANOVA",NA,NA
"Escalado de datos por desviación típica","simplex",0.05,1000,300,"equal",3,2,0.024,NA,0.032,1000,"MANTA",NA,NA,"MANOVA",NA,NA
